Work,Constant,HusbandInc,EducYears,ExpYears,ExpYears2,Age,NSmallChild,NBigChild
1.00E+00,1.00E+00,2.24E+01,1.20E+01,7.00E+00,4.90E-01,4.30E+01,0.00E+00,3.00E+00
0.00E+00,1.00E+00,7.23E+00,8.00E+00,1.00E+01,1.00E+00,3.40E+01,0.00E+00,7.00E+00
1.00E+00,1.00E+00,1.83E+01,1.20E+01,4.00E+00,1.60E-01,4.10E+01,1.00E+00,5.00E+00
0.00E+00,1.00E+00,2.81E+01,1.40E+01,2.00E+00,4.00E-02,4.30E+01,0.00E+00,2.00E+00
1.00E+00,1.00E+00,2.38E+01,1.20E+01,2.40E+01,5.76E+00,4.50E+01,0.00E+00,1.00E+00
0.00E+00,1.00E+00,9.60E+01,1.70E+01,1.00E+00,1.00E-02,3.40E+01,1.00E+00,2.00E+00
0.00E+00,1.00E+00,3.73E+01,1.20E+01,1.30E+01,1.69E+00,4.50E+01,0.00E+00,2.00E+00
0.00E+00,1.00E+00,2.18E+01,1.40E+01,1.50E+01,2.25E+00,3.60E+01,1.00E+00,0.00E+00
1.00E+00,1.00E+00,7.80E+00,1.20E+01,1.00E+01,1.00E+00,3.10E+01,0.00E+00,1.00E+00
0.00E+00,1.00E+00,2.86E+01,1.60E+01,6.00E+00,3.60E-01,3.70E+01,0.00E+00,3.00E+00
0.00E+00,1.00E+00,2.28E+01,1.20E+01,1.20E+01,1.44E+00,3.00E+01,1.00E+00,0.00E+00
1.00E+00,1.00E+00,1.72E+01,1.20E+01,1.90E+01,3.61E+00,3.80E+01,0.00E+00,0.00E+00
0.00E+00,1.00E+00,1.31E+01,1.20E+01,1.70E+01,2.89E+00,4.30E+01,1.00E+00,1.00E+00
0.00E+00,1.00E+00,6.00E+00,1.20E+01,0.00E+00,0.00E+00,3.50E+01,1.00E+00,3.00E+00
0.00E+00,1.00E+00,1.61E+01,1.70E+01,1.00E+01,1.00E+00,3.00E+01,2.00E+00,0.00E+00
1.00E+00,1.00E+00,1.33E+01,1.20E+01,1.90E+01,3.61E+00,5.40E+01,0.00E+00,0.00E+00
1.00E+00,1.00E+00,2.32E+01,1.20E+01,8.00E+00,6.40E-01,4.00E+01,0.00E+00,1.00E+00
1.00E+00,1.00E+00,1.05E+01,1.30E+01,3.60E+01,1.30E+01,5.90E+01,0.00E+00,0.00E+00
1.00E+00,1.00E+00,2.57E+01,1.20E+01,9.00E+00,8.10E-01,4.70E+01,0.00E+00,1.00E+00
0.00E+00,1.00E+00,2.11E+01,1.20E+01,2.00E+01,4.00E+00,4.70E+01,0.00E+00,0.00E+00
0.00E+00,1.00E+00,1.16E+01,1.20E+01,7.00E+00,4.90E-01,3.20E+01,1.00E+00,1.00E+00
0.00E+00,1.00E+00,6.34E+00,5.00E+00,0.00E+00,0.00E+00,5.70E+01,0.00E+00,0.00E+00
0.00E+00,1.00E+00,1.06E+01,1.20E+01,0.00E+00,0.00E+00,5.60E+01,0.00E+00,0.00E+00
1.00E+00,1.00E+00,2.50E+01,1.00E+01,1.30E+01,1.69E+00,4.30E+01,0.00E+00,1.00E+00
1.00E+00,1.00E+00,1.82E+01,1.20E+01,1.40E+01,1.96E+00,4.30E+01,0.00E+00,1.00E+00
0.00E+00,1.00E+00,8.10E+00,1.20E+01,7.00E+00,4.90E-01,3.00E+01,1.00E+00,2.00E+00
1.00E+00,1.00E+00,2.60E+01,1.30E+01,1.50E+01,2.25E+00,3.40E+01,0.00E+00,1.00E+00
1.00E+00,1.00E+00,2.35E+01,1.60E+01,7.00E+00,4.90E-01,3.50E+01,1.00E+00,2.00E+00
1.00E+00,1.00E+00,2.23E+01,1.00E+01,8.00E+00,6.40E-01,4.70E+01,0.00E+00,0.00E+00
0.00E+00,1.00E+00,2.09E+01,1.60E+01,8.00E+00,6.40E-01,4.40E+01,0.00E+00,2.00E+00
1.00E+00,1.00E+00,4.40E+01,1.40E+01,1.50E+01,2.25E+00,4.60E+01,0.00E+00,0.00E+00
1.00E+00,1.00E+00,1.72E+01,1.60E+01,8.00E+00,6.40E-01,3.40E+01,0.00E+00,2.00E+00
1.00E+00,1.00E+00,1.79E+01,1.20E+01,6.00E+00,3.60E-01,4.00E+01,0.00E+00,2.00E+00
0.00E+00,1.00E+00,7.04E+00,9.00E+00,0.00E+00,0.00E+00,3.40E+01,0.00E+00,1.00E+00
1.00E+00,1.00E+00,3.46E+01,1.30E+01,1.90E+01,3.61E+00,5.40E+01,0.00E+00,3.00E+00
0.00E+00,1.00E+00,9.09E+00,1.20E+01,1.00E+00,1.00E-02,3.60E+01,0.00E+00,2.00E+00
0.00E+00,1.00E+00,2.05E+01,9.00E+00,0.00E+00,0.00E+00,3.60E+01,1.00E+00,1.00E+00
1.00E+00,1.00E+00,3.08E+01,1.00E+01,2.70E+01,7.29E+00,4.80E+01,0.00E+00,0.00E+00
1.00E+00,1.00E+00,1.82E+01,1.60E+01,1.60E+01,2.56E+00,5.40E+01,0.00E+00,0.00E+00
0.00E+00,1.00E+00,8.12E+00,1.20E+01,1.80E+01,3.24E+00,5.10E+01,0.00E+00,0.00E+00
