year,month,avg_diff
1960,1,0.761463767
1960,2,1.527200246
1960,3,0.192050448
1960,4,-0.642024384
1960,5,0.157772987
1960,6,-0.237311108
1960,7,-1.280473827
1960,8,-0.985763468
1960,9,0.006741017
1960,10,-1.347102187
1960,11,0.800622057
1960,12,-0.423731931
1961,1,-0.721588343
1961,2,-2.416466863
1961,3,3.829023153
1961,4,1.885462795
1961,5,-0.261755549
1961,6,0.676227353
1961,7,-0.516553232
1961,8,-0.962388779
1961,9,1.249587171
1961,10,3.785676969
1961,11,0.946442569
1961,12,1.803761865
1962,1,-2.421588343
1962,2,-2.025532797
1962,3,4.425628161
1962,4,0.624308949
1962,5,-1.766213188
1962,6,-1.505430156
1962,7,-1.689275671
1962,8,-2.001869459
1962,9,-1.167116126
1962,10,1.026354034
1962,11,-0.901020801
1962,12,2.297904014
1963,1,5.636786347
1963,2,3.68919444
1963,3,2.934216347
1963,4,-0.475452956
1963,5,1.859336263
1963,6,0.014817097
1963,7,0.550320217
1963,8,-0.007425999
1963,9,0.999202555
1963,10,0.525503272
1963,11,0.820545133
1963,12,0.388005042
1964,1,-2.375434496
1964,2,0.042054357
1964,3,0.874556652
1964,4,1.915697838
1964,5,2.128660084
1964,6,-0.724894442
1964,7,-0.421629741
1964,8,-0.758935511
1964,9,-0.194953428
1964,10,-0.240408639
1964,11,0.654038723
1964,12,-0.647871716
1965,1,-1.816842685
1965,2,0.193148522
1965,3,0.813555825
1965,4,0.483892282
1965,5,-1.196370933
1965,6,-0.353003416
1965,7,-1.978339832
1965,8,-1.092785801
1965,9,0.967279478
1965,10,1.179225356
1965,11,-0.681634354
1965,12,3.377210997
1966,1,3.627295032
1966,2,5.386417752
1966,3,-0.261847401
1966,4,-2.984152589
1966,5,0.394323856
1966,6,1.452765815
1966,7,0.702801607
1966,8,-0.801098456
1966,9,-0.478105137
1966,10,-0.52896323
1966,11,-0.240736918
1966,12,-0.550704636
1967,1,1.543372369
1967,2,-2.886018145
1967,3,3.457641846
1967,4,0.359031171
1967,5,-0.55749583
1967,6,-1.19003333
1967,7,0.678370259
1967,8,0.551682768
1967,9,0.824213239
1967,10,2.205290286
1967,11,1.913899834
1967,12,2.609117531
1968,1,2.608829358
1968,2,0.507803694
1968,3,1.321217115
1968,4,2.634864505
1968,5,-1.590560346
1968,6,1.648577781
1968,7,-0.413823703
1968,8,1.459571519
1968,9,0.971125632
1968,10,-1.253032708
1968,11,-1.144839482
1968,12,-0.122664934
