"region","type of household","age","2016"
"01 Stockholm county","all households","18-29 years",385.4
"01 Stockholm county","all households","30-49 years",659.5
"01 Stockholm county","all households","50-64 years",683.3
"01 Stockholm county","single without children","18-29 years",237.9
"01 Stockholm county","single without children","30-49 years",342.0
"01 Stockholm county","single without children","50-64 years",340.2
"01 Stockholm county","single women without children","18-29 years",226.9
"01 Stockholm county","single women without children","30-49 years",317.4
"01 Stockholm county","single women without children","50-64 years",326.0
"01 Stockholm county","single men without children","18-29 years",247.5
"01 Stockholm county","single men without children","30-49 years",357.6
"01 Stockholm county","single men without children","50-64 years",354.1
"01 Stockholm county","single with children aged 0-19","18-29 years",295.9
"01 Stockholm county","single with children aged 0-19","30-49 years",403.8
"01 Stockholm county","single with children aged 0-19","50-64 years",512.8
"01 Stockholm county","single women with children aged 0-19","18-29 years",256.1
"01 Stockholm county","single women with children aged 0-19","30-49 years",379.0
"01 Stockholm county","single women with children aged 0-19","50-64 years",473.2
"01 Stockholm county","single men with children aged 0-19","18-29 years",465.7
"01 Stockholm county","single men with children aged 0-19","30-49 years",503.8
"01 Stockholm county","single men with children aged 0-19","50-64 years",595.9
"01 Stockholm county","single with adult children aged 20-29","18-29 years",494.7
"01 Stockholm county","single with adult children aged 20-29","30-49 years",505.3
"01 Stockholm county","single with adult children aged 20-29","50-64 years",577.2
"01 Stockholm county","single women with adult children aged 20-29","18-29 years",458.0
"01 Stockholm county","single women with adult children aged 20-29","30-49 years",476.2
"01 Stockholm county","single women with adult children aged 20-29","50-64 years",541.3
"01 Stockholm county","single men with adult children aged 20-29","18-29 years",516.8
"01 Stockholm county","single men with adult children aged 20-29","30-49 years",603.9
"01 Stockholm county","single men with adult children aged 20-29","50-64 years",665.8
"01 Stockholm county","cohabiting without children","18-29 years",530.1
"01 Stockholm county","cohabiting without children","30-49 years",717.4
"01 Stockholm county","cohabiting without children","50-64 years",819.8
"01 Stockholm county","cohabiting with children aged 0-19","18-29 years",536.1
"01 Stockholm county","cohabiting with children aged 0-19","30-49 years",868.5
"01 Stockholm county","cohabiting with children aged 0-19","50-64 years",1040.6
"01 Stockholm county","cohabiting with adult children aged 20-29","18-29 years",748.7
"01 Stockholm county","cohabiting with adult children aged 20-29","30-49 years",900.2
"01 Stockholm county","cohabiting with adult children aged 20-29","50-64 years",1061.4
"01 Stockholm county","other households without children","18-29 years",541.3
"01 Stockholm county","other households without children","30-49 years",673.3
"01 Stockholm county","other households without children","50-64 years",779.8
"01 Stockholm county","other households with children aged 0-19","18-29 years",665.2
